policy,scenario,reward_mean_mean,reward_mean_std,reward_mean_count,energy_mean_mean,energy_mean_std,energy_mean_count,dropped_mean_mean,dropped_mean_std,dropped_mean_count,toggles_total_mean_mean,toggles_total_mean_std,toggles_total_mean_count,qos_violation_rate_mean_mean,qos_violation_rate_mean_std,qos_violation_rate_mean_count
all_on,burst,-1093.4917661522677,2.0864894500112254,10,0.02,0.0,10,23309.93878385477,99.12989218766138,10,0.0,0.0,10,0.8483333333333334,0.001152988601873151,10
all_on,hotspot,-1040.3122684698094,1.4255140848269316,10,0.02,0.0,10,12657.588009081024,56.05807443683866,10,0.0,0.0,10,0.7560733333333334,0.001052897237432317,10
all_on,normal,-860.7054323307691,2.0055417629772063,10,0.02,0.0,10,8432.871093147243,55.91950096701241,10,0.0,0.0,10,0.7337666666666667,0.0004941634657319249,10
heuristic,burst,-1107.077411092961,2.2212399203014757,10,0.019264783333333334,3.795930425007493e-06,10,23692.492227122075,101.58294322607388,10,1.22,0.009428090415820635,10,0.8482066666666667,0.0011621393639467765,10
heuristic,hotspot,-1062.978421311785,1.4715097032316309,10,0.019166666666666665,0.0,10,12966.997283383556,58.19459181737929,10,1.0,0.0,10,0.75576,0.0010676846993770736,10
heuristic,normal,-870.9185824136372,2.048426240541321,10,0.019166666666666665,0.0,10,8572.374184119755,58.87112255019461,10,1.0,0.0,10,0.73436,0.0004911060834333037,10
ppo,burst,-1094.000736819859,2.0873233693074353,10,0.019969388888888894,0.0,10,23313.550690697208,98.96462632764377,10,2.0,0.0,10,0.8483466666666667,0.0011378124994701794,10
ppo,hotspot,-1040.3307406920317,1.4255140848268455,10,0.019969444444444446,0.0,10,12657.588009081024,56.05807443683866,10,2.0,0.0,10,0.7560733333333334,0.001052897237432317,10
ppo,normal,-861.2613079498693,2.051699103664158,10,0.019969444444444446,0.0,10,8439.20275981391,56.486993607846,10,2.0,0.0,10,0.7340333333333333,0.0004941634657319004,10
