scenario,bucket,ood_bucket,demand_scale,capacity_scale,off_proposals,off_candidates,off_applied_off,off_applied_on,off_masked_on,masked_pct_on,energy_mean_off,energy_mean_on,dropped_mean_off,dropped_mean_on,norm_drop_mean_off,norm_drop_mean_on,avg_path_latency_ms_mean_off,avg_path_latency_ms_mean_on,lat_tol_ms_used,norm_drop_tol_used,dropped_tol_used,lat_ok,norm_drop_ok,dropped_ok,safety_ok,stress_mask_ok,stress_reason_ok,ood_off_candidates_ok,ood_off_masked_ok,pass,mask_reason_counts_on
normal,mild,0,1.0,1.0,167,167,0,0,167,100.0,0.30444444444444424,0.30444444444444424,5111.7061296652155,5111.7061296652155,0.47733597981481607,0.47733597981481607,13.9318475825322,13.9318475825322,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 167}"
normal,stress,0,1.4,0.8,167,167,0,0,167,100.0,0.30444444444444424,0.30444444444444424,5630.163422250693,5630.163422250693,0.5259307068250617,0.5259307068250617,13.887206442008187,13.887206442008187,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 167}"
normal,extreme,1,1.8,0.7,167,167,0,0,167,100.0,0.30444444444444424,0.30444444444444424,5919.801327802689,5919.801327802689,0.5532527393524623,0.5532527393524623,13.850471904748895,13.850471904748895,5.0,0.005,15.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 167}"
burst,mild,0,1.0,1.0,167,167,0,0,167,100.0,0.30444444444444424,0.30444444444444424,17488.477089634478,17488.477089634478,0.6041764375829729,0.6041764375829729,13.640627997223618,13.640627997223618,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 167}"
burst,stress,0,1.4,0.8,167,167,0,0,167,100.0,0.30444444444444424,0.30444444444444424,18868.574264300176,18868.574264300176,0.6522246350080799,0.6522246350080799,13.552588732231655,13.552588732231655,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 167}"
burst,extreme,1,1.8,0.7,167,167,0,0,167,100.0,0.30444444444444424,0.30444444444444424,19643.63201829969,19643.63201829969,0.6791276934432606,0.6791276934432606,13.494067530671614,13.494067530671614,5.0,0.005,15.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 167}"
hotspot,mild,0,1.0,1.0,167,167,0,0,167,100.0,0.30444444444444424,0.30444444444444424,9345.680291044442,9345.680291044442,0.6579562929658846,0.6579562929658846,15.180170174455933,15.180170174455933,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 167}"
hotspot,stress,0,1.4,0.8,167,167,0,0,167,100.0,0.30444444444444424,0.30444444444444424,9969.751640242961,9969.751640242961,0.7026731451527966,0.7026731451527966,15.13054508661666,15.13054508661666,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 167}"
hotspot,extreme,1,1.8,0.7,167,167,0,0,167,100.0,0.30444444444444424,0.30444444444444424,10310.307685212589,10310.307685212589,0.7272017777785964,0.7272017777785964,15.091948733109122,15.091948733109122,5.0,0.005,15.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 167}"
