scenario,bucket,ood_bucket,demand_scale,capacity_scale,off_proposals,off_candidates,off_applied_off,off_applied_on,off_masked_on,masked_pct_on,energy_mean_off,energy_mean_on,dropped_mean_off,dropped_mean_on,norm_drop_mean_off,norm_drop_mean_on,avg_path_latency_ms_mean_off,avg_path_latency_ms_mean_on,lat_tol_ms_used,norm_drop_tol_used,dropped_tol_used,lat_ok,norm_drop_ok,dropped_ok,safety_ok,stress_mask_ok,stress_reason_ok,ood_off_candidates_ok,ood_off_masked_ok,pass,mask_reason_counts_on
normal,mild,0,1.0,1.0,28,28,0,0,26,92.85714285714286,0.2844444444444444,0.2844444444444444,5289.912260543872,5289.912260543872,0.48963887037207776,0.48963887037207776,14.668179894808866,14.668179894808866,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""drop_bound"": 21, ""qos_bound"": 5}"
normal,stress,0,1.4,0.8,28,28,0,0,26,92.85714285714286,0.2844444444444444,0.2844444444444444,5829.925363990653,5829.925363990653,0.5398203456743784,0.5398203456743784,14.61570613401517,14.61570613401517,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""drop_bound"": 21, ""qos_bound"": 5}"
normal,extreme,1,1.8,0.7,28,28,0,0,26,92.85714285714286,0.2844444444444444,0.2844444444444444,6135.659693491822,6135.659693491822,0.5682549694212775,0.5682549694212775,14.569762573739165,14.569762573739165,5.0,0.005,15.0,1,1,1,1,1,1,1,1,1,"{""drop_bound"": 21, ""qos_bound"": 5}"
burst,mild,0,1.0,1.0,28,28,0,0,27,96.42857142857143,0.2844444444444444,0.2844444444444444,17904.81389004141,17904.81389004141,0.6223077221690667,0.6223077221690667,14.233625636772867,14.233625636772867,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""drop_bound"": 21, ""qos_bound"": 6}"
burst,stress,0,1.4,0.8,28,28,0,0,28,100.0,0.2844444444444444,0.2844444444444444,19273.202223144235,19273.202223144235,0.6702031314276298,0.6702031314276298,14.139886631798255,14.139886631798255,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""drop_bound"": 22, ""qos_bound"": 6}"
burst,extreme,1,1.8,0.7,28,28,0,0,28,100.0,0.2844444444444444,0.2844444444444444,20033.901945251204,20033.901945251204,0.696871454724737,0.696871454724737,14.079548733790924,14.079548733790924,5.0,0.005,15.0,1,1,1,1,1,1,1,1,1,"{""drop_bound"": 22, ""qos_bound"": 6}"
hotspot,mild,0,1.0,1.0,28,28,0,0,25,89.28571428571429,0.2844444444444444,0.2844444444444444,9061.625839604265,9061.625839604265,0.65489583004983,0.65489583004983,16.081650222534464,16.081650222534464,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""drop_bound"": 21, ""qos_bound"": 4}"
hotspot,stress,0,1.4,0.8,28,28,0,0,25,89.28571428571429,0.2844444444444444,0.2844444444444444,9688.394005016746,9688.394005016746,0.7010673007268454,0.7010673007268454,16.03487971893555,16.03487971893555,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""drop_bound"": 21, ""qos_bound"": 4}"
hotspot,extreme,1,1.8,0.7,28,28,0,0,25,89.28571428571429,0.2844444444444444,0.2844444444444444,10050.544754389655,10050.544754389655,0.727048792810134,0.727048792810134,15.997783070132169,15.997783070132169,5.0,0.005,15.0,1,1,1,1,1,1,1,1,1,"{""drop_bound"": 21, ""qos_bound"": 4}"
