scope_type,scope,baseline_policy,ai_policy,baseline_run_count,ai_run_count,baseline_seed_count,ai_seed_count,baseline_energy_kwh_mean,ai_energy_kwh_mean,baseline_delivered_traffic_mean,ai_delivered_traffic_mean,baseline_dropped_traffic_mean,ai_dropped_traffic_mean,baseline_avg_delay_ms_mean,ai_avg_delay_ms_mean,baseline_avg_path_latency_ms_mean,ai_avg_path_latency_ms_mean,baseline_qos_violation_rate_mean,ai_qos_violation_rate_mean,energy_reduction_pct_vs_baseline,delivered_traffic_change_pct_vs_baseline,dropped_traffic_change_pct_vs_baseline,avg_delay_ms_change_pct_vs_baseline,avg_path_latency_ms_change_pct_vs_baseline,qos_violation_rate_delta_vs_baseline,qos_acceptability_status,hypothesis_status,comparison_available,status
overall,ALL,heuristic,ppo,30,30,10,10,0.019199372222222188,0.019969259259259166,8783.351524485317,9057.379165209572,15077.287898208462,14802.36408898446,6654.986759088858,6771.520244119228,18.057183820109028,17.9190327519169,0.7794422222222223,0.7793622222222222,-4.009959430579076,3.1198528256594154,-1.8234301227123904,1.751070126040709,-0.7650753825647888,-8.000000000008001e-05,acceptable,not_achieved,True,ok
scenario,burst,heuristic,ppo,10,10,10,10,0.019264783333333292,0.01996905555555546,12622.697068236728,13008.703672072628,23692.492227122075,23315.492970874202,5058.973220792961,5057.184419983924,16.145647862173,16.000375993308783,0.8482066666666667,0.8484666666666667,-3.655749509539435,3.0580358678434285,-1.5912182333283682,-0.03535896971513019,-0.8997586848439132,0.000260000000000038,acceptable,not_achieved,True,ok
scenario,hotspot,heuristic,ppo,10,10,10,10,0.019166666666666634,0.019969277777777683,6018.7962908574755,6327.041329194833,12966.997283383558,12658.550143962439,9921.125156769052,10324.059827724446,21.462544919715505,21.38979667812623,0.75576,0.7560733333333334,-4.187536231883741,5.121373501302591,-2.3787090617839213,4.0613807868402585,-0.3389544057398671,0.00031333333333338764,acceptable,not_achieved,True,ok
scenario,normal,heuristic,ppo,10,10,10,10,0.019166666666666634,0.01996944444444435,7708.561214361747,7836.392494361253,8572.374184119757,8433.049152116739,4984.861899704559,4933.316484649312,16.563358678438586,16.366925584315688,0.73436,0.7335466666666667,-4.188405797101128,1.6583027162234156,-1.6252794034716387,-1.0340389782573882,-1.1859496490805708,-0.0008133333333333326,acceptable,not_achieved,True,ok
