scenario,policy,energy_kwh_total_mean,dropped_total_mean,reward_total_mean,delta_energy_vs_heuristic,delta_dropped_vs_heuristic,delta_reward_vs_heuristic,delta_energy_vs_all_on,delta_dropped_vs_all_on,delta_reward_vs_all_on
burst,all_on,0.0199999999999999,23309.938783854774,-2088.5302387654424,0.0007352166666666493,-382.5534432673012,32.508739024331135,0.0,0.0,0.0
burst,heuristic,0.01926478333333325,23692.492227122075,-2121.0389777897735,0.0,0.0,0.0,-0.0007352166666666493,382.5534432673012,-32.508739024331135
burst,ppo,0.0199690555555554,23315.4929708742,-2089.6061252742925,0.0007042722222221492,-376.9992562478765,31.432852515481045,-3.094444444450006e-05,5.554187019424717,-1.0758865088500897
hotspot,all_on,0.0199999999999999,12657.588009081022,-2019.023244327543,0.0008333333333332971,-309.4092743025358,54.23690815407576,0.0,0.0,0.0
hotspot,heuristic,0.019166666666666603,12966.997283383558,-2073.2601524816187,0.0,0.0,0.0,-0.0008333333333332971,309.4092743025358,-54.23690815407576
hotspot,ppo,0.0199692777777776,12658.550143962439,-2019.5057935070995,0.0008026111111109971,-308.4471394211196,53.754358974519164,-3.072222222229998e-05,0.9621348814162047,-0.4825491795565995
normal,all_on,0.0199999999999999,8432.871093147243,-1602.020037593846,0.0008333333333332971,-139.50309097251375,23.642659532216385,0.0,0.0,0.0
normal,heuristic,0.019166666666666603,8572.374184119757,-1625.6626971260623,0.0,0.0,0.0,-0.0008333333333332971,139.50309097251375,-23.642659532216385
normal,ppo,0.019969444444444297,8433.049152116739,-1602.625950003809,0.000802777777777694,-139.32503200301835,23.036747122253246,-3.0555555555603076e-05,0.178058969495396,-0.605912409963139
