scenario,policy,energy_kwh_total_mean,dropped_total_mean,reward_total_mean,delta_energy_vs_heuristic,delta_dropped_vs_heuristic,delta_reward_vs_heuristic,delta_energy_vs_all_on,delta_dropped_vs_all_on,delta_reward_vs_all_on
burst,all_on,0.0199999999999999,23309.938783854774,-1093.4917661522675,0.0007352166666666493,-382.5534432673012,13.585644940693783,0.0,0.0,0.0
burst,heuristic,0.01926478333333325,23692.492227122075,-1107.0774110929613,0.0,0.0,0.0,-0.0007352166666666493,382.5534432673012,-13.585644940693783
burst,ppo,0.019969444444444297,23319.239144763884,-1094.8716065183023,0.0007046611111110462,-373.253082358191,12.205804574658941,-3.0555555555603076e-05,9.300360909110168,-1.3798403660348413
hotspot,all_on,0.0199999999999999,12657.588009081022,-1040.3122684698092,0.0008333333333332971,-309.4092743025358,22.666152841976782,0.0,0.0,0.0
hotspot,heuristic,0.019166666666666603,12966.997283383558,-1062.978421311786,0.0,0.0,0.0,-0.0008333333333332971,309.4092743025358,-22.666152841976782
hotspot,ppo,0.019969444444444297,12657.368513200086,-1040.3164125930828,0.000802777777777694,-309.6287701834717,22.66200871870319,-3.0555555555603076e-05,-0.21949588093593775,-0.004144123273590594
normal,all_on,0.0199999999999999,8432.871093147243,-860.705432330769,0.0008333333333332971,-139.50309097251375,10.213150082869674,0.0,0.0,0.0
normal,heuristic,0.019166666666666603,8572.374184119757,-870.9185824136387,0.0,0.0,0.0,-0.0008333333333332971,139.50309097251375,-10.213150082869674
normal,ppo,0.019969444444444297,8435.009180088766,-860.7208645173512,0.000802777777777694,-137.36500403099126,10.197717896287486,-3.0555555555603076e-05,2.138086941522488,-0.015432186582188478
