scope_type,scope,baseline_policy,ai_policy,baseline_run_count,ai_run_count,baseline_seed_count,ai_seed_count,baseline_energy_kwh_mean,ai_energy_kwh_mean,baseline_delivered_traffic_mean,ai_delivered_traffic_mean,baseline_dropped_traffic_mean,ai_dropped_traffic_mean,baseline_avg_delay_ms_mean,ai_avg_delay_ms_mean,baseline_avg_path_latency_ms_mean,ai_avg_path_latency_ms_mean,baseline_qos_violation_rate_mean,ai_qos_violation_rate_mean,energy_reduction_pct_vs_baseline,delivered_traffic_change_pct_vs_baseline,dropped_traffic_change_pct_vs_baseline,avg_delay_ms_change_pct_vs_baseline,avg_path_latency_ms_change_pct_vs_baseline,qos_violation_rate_delta_vs_baseline,qos_acceptability_status,stability_status,stability_qualified_hypothesis_status,hypothesis_status,comparison_available,status
overall,ALL,all_on,ppo,30,30,5,5,0.01721557391832004,0.016985971320940072,8748.516409516413,8642.121650313054,18679.55192381692,18785.94668302028,2676.151429238712,2715.440247297362,9.449104290292258,9.633782754765479,0.7823666666666667,0.7823666666666667,1.3336912174367566,-1.2161463066769214,0.5695787545508634,1.4681089279699937,1.9544547165486796,0.0,acceptable,stable,not_achieved,not_achieved,True,ok
scenario,custom,all_on,ppo,10,10,5,5,0.017780704365079385,0.017780704365079385,7695.0,7695.0,630.0,630.0,1819.7573971861548,1819.7573971861548,10.291098484848488,10.291098484848488,0.475,0.475,0.0,0.0,0.0,0.0,0.0,0.0,acceptable,stable,not_achieved,not_achieved,True,ok
scenario,diurnal,all_on,ppo,5,5,5,5,0.015551545852890564,0.014936343469260805,6532.254754473155,6417.5979527264835,7264.175245526845,7378.832047273517,2626.049802956755,2664.8508588196537,7.848557132041156,8.046065219690393,0.9010999999999999,0.9010999999999999,3.9558921630637194,-1.7552408173939777,1.5783870552582728,1.4775445545324977,2.5164891371297293,0.0,acceptable,stable,not_achieved,not_achieved,True,ok
scenario,flash_crowd,all_on,ppo,5,5,5,5,0.02393978003458503,0.023913836883517087,14921.137944828679,14934.789521862258,85467.69205517133,85454.04047813774,3884.243364056156,3914.073108190062,10.889627943718683,11.082932926825958,0.9696666666666667,0.9696666666666667,0.10836837694608778,0.0914915275500848,-0.015972792414670943,0.7679679499472956,1.77512936260395,0.0,acceptable,stable,not_achieved,not_achieved,True,ok
scenario,hotspot,all_on,ppo,5,5,5,5,0.01568687130723983,0.015238486931897086,7650.130211825184,7499.442487112962,10475.889788174816,10626.57751288704,3012.9272236566317,3039.8343448542755,7.777802204973716,7.939452145986619,0.9405333333333333,0.9405333333333333,2.858341644810993,-1.9697406519865055,1.438424112501825,0.8930557959175691,2.0783498571040098,0.0,acceptable,stable,not_achieved,not_achieved,True,ok
scenario,normal,all_on,ppo,5,5,5,5,0.012553837585046062,0.012265751910806687,7997.575545971452,7610.899940176624,7609.554454028548,7996.230059823376,2894.1733903904187,3034.368377547874,9.596441491323006,10.152049266392918,0.9329000000000001,0.9329000000000001,2.294801667519883,-4.834910324662134,5.081448698880382,4.844042434463236,5.789727114704828,0.0,not_acceptable,stable,not_achieved,not_achieved,True,ok
