run_id,policy,scenario,seed,episodes,max_steps,deterministic,reward_total_mean,delivered_total_mean,dropped_total_mean,energy_kwh_total_mean,carbon_g_total_mean,avg_utilization_mean,active_ratio_mean,avg_delay_ms_mean,results_dir,status,error
20260125_101542,noop,normal,0,1,300,True,-10.896922572827975,5309.673420260496,39.92509385832184,0.019999999999999907,0.08737535940824023,0.1550676507429246,1.0,571.5582203740128,results/20260125_101542__policy-noop__scenario-normal__seed-0__tag-matrix,ok,
20260125_101543,baseline,normal,0,1,300,True,-25.935103488901728,5249.886526705208,99.7119874136074,0.016733333333333364,0.07536588952818526,0.21911656558908277,0.7936842105786006,1202.9062153095033,results/20260125_101543__policy-baseline__scenario-normal__seed-0__tag-matrix,ok,
20260125_101545,ppo,normal,0,1,300,True,-11.081644795050199,5309.673420260496,39.92509385832184,0.019694444444444372,0.09295188992108983,0.15887591639109636,0.9807017624378205,571.9501853923088,results/20260125_101545__policy-ppo__scenario-normal__seed-0__tag-matrix,ok,
20260125_101546,noop,burst,0,1,300,True,-1089.5686661000016,11956.603759745401,19659.396240254602,0.019999999999999907,0.08737535940824023,0.33257075588044077,1.0,4957.363704890296,results/20260125_101546__policy-noop__scenario-burst__seed-0__tag-matrix,ok,
20260125_101547,baseline,burst,0,1,300,True,-1106.8058868986257,11482.72627557971,20095.273724420294,0.019166666666666634,0.08373471943289681,0.3394902907673179,0.9473684430122375,5012.723160956973,results/20260125_101547__policy-baseline__scenario-burst__seed-0__tag-matrix,ok,
20260125_101548,ppo,burst,0,1,300,True,-1089.5871383222238,11956.603759745401,19659.396240254602,0.01996944444444435,0.08697689109282708,0.3329123644424441,0.998070176243782,4957.363704890296,results/20260125_101548__policy-ppo__scenario-burst__seed-0__tag-matrix,ok,
20260125_101549,noop,hotspot,0,1,300,True,-1092.5522325212664,6484.94626489192,15284.053735108078,0.019999999999999907,0.08737535940824023,0.24298598804159946,1.0,10704.484738803818,results/20260125_101549__policy-noop__scenario-hotspot__seed-0__tag-matrix,ok,
20260125_101550,baseline,hotspot,0,1,300,True,-1123.699038131495,6476.535685323242,15521.464314676763,0.019166666666666634,0.08373471943289681,0.2537872423140082,0.9473684430122375,10815.477640671026,results/20260125_101550__policy-baseline__scenario-hotspot__seed-0__tag-matrix,ok,
20260125_101551,ppo,hotspot,0,1,300,True,-1092.5707047434887,6484.94626489192,15284.053735108078,0.01996944444444435,0.08697689109282708,0.24331758374780812,0.998070176243782,10704.484738803818,results/20260125_101551__policy-ppo__scenario-hotspot__seed-0__tag-matrix,ok,
20260125_101552,noop,normal,1,1,300,True,-11.453818349859693,5409.0582665226,42.98856442981928,0.019999999999999907,0.08737535940824023,0.15626286029647599,1.0,645.7697574747112,results/20260125_101552__policy-noop__scenario-normal__seed-1__tag-matrix,ok,
20260125_101553,baseline,normal,1,1,300,True,-22.78931326647032,5364.403161403773,87.64366954864535,0.01703611111111105,0.0766310382969678,0.21130289445136685,0.8128070276975632,1199.7591396716898,results/20260125_101553__policy-baseline__scenario-normal__seed-1__tag-matrix,ok,
20260125_101554,ppo,normal,1,1,300,True,-11.996409623226596,5407.246444940323,44.80038601209624,0.019694444444444372,0.09295188992108983,0.15990477547382587,0.9807017624378205,660.0827457378792,results/20260125_101554__policy-ppo__scenario-normal__seed-1__tag-matrix,ok,
20260125_101555,noop,burst,1,1,300,True,-1048.834099729105,12624.530614214655,24854.469385785338,0.019999999999999907,0.08737535940824023,0.3502729118723724,1.0,5349.854934797646,results/20260125_101555__policy-noop__scenario-burst__seed-1__tag-matrix,ok,
20260125_101556,baseline,burst,1,1,300,True,-1064.9380250897843,12000.298490297204,25478.701509702776,0.019166666666666634,0.08373471943289681,0.3555908710739167,0.9473684430122375,5028.35560214088,results/20260125_101556__policy-baseline__scenario-burst__seed-1__tag-matrix,ok,
20260125_101557,ppo,burst,1,1,300,True,-1048.8525719513273,12624.530614214655,24854.469385785338,0.01996944444444435,0.08697689109282708,0.3505934354034223,0.998070176243782,5349.865351461708,results/20260125_101557__policy-ppo__scenario-burst__seed-1__tag-matrix,ok,
20260125_101558,noop,hotspot,1,1,300,True,-1033.4557988425038,6125.751314819857,12363.248685180139,0.019999999999999907,0.08737535940824023,0.22602877174289654,1.0,10297.558002542184,results/20260125_101558__policy-noop__scenario-hotspot__seed-1__tag-matrix,ok,
20260125_101559,baseline,hotspot,1,1,300,True,-1052.7752816611214,5825.618418048022,12663.381581951975,0.019166666666666634,0.08373471943289681,0.2285803990191179,0.9473684430122375,9944.90814685043,results/20260125_101559__policy-baseline__scenario-hotspot__seed-1__tag-matrix,ok,
20260125_101600,ppo,hotspot,1,1,300,True,-1033.474271064726,6125.751314819857,12363.248685180139,0.01996944444444435,0.08697689109282708,0.2263094734972825,0.998070176243782,10297.58173989312,results/20260125_101600__policy-ppo__scenario-hotspot__seed-1__tag-matrix,ok,
20260125_101601,noop,normal,2,1,300,True,-11.261257086918855,5343.212169899281,41.4293052959445,0.019999999999999907,0.08737535940824023,0.1538283982378621,1.0,511.6447791396481,results/20260125_101601__policy-noop__scenario-normal__seed-2__tag-matrix,ok,
20260125_101602,baseline,normal,2,1,300,True,-26.76389507325676,5277.634570421082,105.97410442348762,0.016330555555555543,0.07442161890328317,0.2262005441284569,0.7682456221183142,1016.6191237988179,results/20260125_101602__policy-baseline__scenario-normal__seed-2__tag-matrix,ok,
20260125_101603,ppo,normal,2,1,300,True,-12.102842603846234,5340.297081508417,44.34439368680916,0.019694444444444372,0.09295188992108983,0.15793051428484856,0.9807017624378205,543.5119706552609,results/20260125_101603__policy-ppo__scenario-normal__seed-2__tag-matrix,ok,
20260125_101605,noop,burst,2,1,300,True,-1167.4591901356314,13607.69736500511,24400.30263499489,0.019999999999999907,0.08737535940824023,0.37720076248319984,1.0,5057.4278217920555,results/20260125_101605__policy-noop__scenario-burst__seed-2__tag-matrix,ok,
20260125_101605,baseline,burst,2,1,300,True,-1187.167202608907,13062.659691045299,24945.340308954717,0.019166666666666634,0.08373471943289681,0.3846622415059342,0.9473684430122375,4975.868679310332,results/20260125_101605__policy-baseline__scenario-burst__seed-2__tag-matrix,ok,
20260125_101607,ppo,burst,2,1,300,True,-1167.4776623578537,13607.69736500511,24400.30263499489,0.01996944444444435,0.08697689109282708,0.37775375697612756,0.998070176243782,5057.4278217920555,results/20260125_101607__policy-ppo__scenario-burst__seed-2__tag-matrix,ok,
20260125_101608,noop,hotspot,2,1,300,True,-1001.9660850028907,6703.666168380193,12675.333831619806,0.019999999999999907,0.08737535940824023,0.24945125804579665,1.0,11158.929238193306,results/20260125_101608__policy-noop__scenario-hotspot__seed-2__tag-matrix,ok,
20260125_101609,baseline,hotspot,2,1,300,True,-1028.0166960401834,6255.228957581718,13123.771042418277,0.019166666666666634,0.08373471943289681,0.245383773241168,0.9473684430122375,10538.073081150038,results/20260125_101609__policy-baseline__scenario-hotspot__seed-2__tag-matrix,ok,
20260125_101610,ppo,hotspot,2,1,300,True,-1001.984557225113,6703.666168380193,12675.333831619806,0.01996944444444435,0.08697689109282708,0.24977550591148437,0.998070176243782,11158.929238193306,results/20260125_101610__policy-ppo__scenario-hotspot__seed-2__tag-matrix,ok,
20260125_101611,noop,normal,3,1,300,True,-10.31275047371914,5292.910375598145,38.68280785743753,0.019999999999999907,0.08737535940824023,0.15520358376245588,1.0,645.4337540284204,results/20260125_101611__policy-noop__scenario-normal__seed-3__tag-matrix,ok,
20260125_101612,baseline,normal,3,1,300,True,-25.494529892936757,5230.56416032968,97.77912564274972,0.016797222222222227,0.07571938761422281,0.21867913618794949,0.7977193063497543,1193.417298356292,results/20260125_101612__policy-baseline__scenario-normal__seed-3__tag-matrix,ok,
20260125_101613,ppo,normal,3,1,300,True,-10.813410580978832,5291.755957725236,39.83722573034647,0.019694444444444372,0.09295188992108983,0.15912246653054352,0.9807017624378205,665.0340530006017,results/20260125_101613__policy-ppo__scenario-normal__seed-3__tag-matrix,ok,
20260125_101614,noop,burst,3,1,300,True,-1053.5747142000414,11661.440691275417,17091.83203599731,0.019999999999999907,0.08737535940824023,0.33183242748516534,1.0,5220.786302328066,results/20260125_101614__policy-noop__scenario-burst__seed-3__tag-matrix,ok,
20260125_101615,baseline,burst,3,1,300,True,-1066.0535227438124,11360.31815972933,17392.9545675434,0.019166666666666634,0.08373471943289681,0.34275198966603804,0.9473684430122375,5186.032686901417,results/20260125_101615__policy-baseline__scenario-burst__seed-3__tag-matrix,ok,
20260125_101616,ppo,burst,3,1,300,True,-1053.5931864222637,11661.440691275417,17091.83203599731,0.01996944444444435,0.08697689109282708,0.3324093030844867,0.998070176243782,5220.786302328066,results/20260125_101616__policy-ppo__scenario-burst__seed-3__tag-matrix,ok,
20260125_101617,noop,hotspot,3,1,300,True,-966.1393079475757,5790.5183659461745,8889.481634053825,0.019999999999999907,0.08737535940824023,0.2146569753789012,1.0,9394.138778149862,results/20260125_101617__policy-noop__scenario-hotspot__seed-3__tag-matrix,ok,
20260125_101618,baseline,hotspot,3,1,300,True,-990.6397507362394,5531.595003189347,9148.404996810654,0.019166666666666634,0.08373471943289681,0.21641405401300265,0.9473684430122375,8635.111386405208,results/20260125_101618__policy-baseline__scenario-hotspot__seed-3__tag-matrix,ok,
20260125_101619,ppo,hotspot,3,1,300,True,-966.1577801697979,5790.5183659461745,8889.481634053825,0.01996944444444435,0.08697689109282708,0.21479440227948596,0.998070176243782,9394.138778149862,results/20260125_101619__policy-ppo__scenario-hotspot__seed-3__tag-matrix,ok,
20260125_101621,noop,normal,4,1,300,True,-15.308068405726448,5407.0297203496475,57.248003086342166,0.019999999999999907,0.08737535940824023,0.1581372879395706,1.0,780.9934694974803,results/20260125_101621__policy-noop__scenario-normal__seed-4__tag-matrix,ok,
