run_id,policy,scenario,seed,episode_seed,episode,step,action,reward,terminated,truncated,avg_utilization,active_ratio,max_util,min_util,p95_util,dropped_prev,num_active_edges,near_saturated_edges,delivered,dropped,avg_delay_ms,avg_path_latency_ms,energy_kwh,carbon_g,power_total_watts,power_fixed_watts,power_variable_watts,power_device_watts,power_link_watts,active_devices,inactive_devices,active_links,inactive_links,delta_energy_kwh,delta_delivered,delta_dropped,delta_carbon_g,norm_drop_step,norm_drop,reward_energy,reward_drop,reward_qos,reward_toggle,qos_violation,qos_excess,toggle_applied,toggle_reverted,toggle_blocked_any,toggle_blocked_cooldown,toggle_blocked_high_util,toggle_blocked_global_cooldown,blocked_by_util_count,blocked_by_cooldown_count,allowed_toggle_count,toggles_attempted_count,toggles_applied_count,action_is_noop,action_is_invalid,flows_count,flows_json
20260411_154426,heuristic,normal,2,2,0,1,1,-0.0017622222222222225,False,False,0.0,0.699999988079071,0.0,0.0,0.0,0.0,7,0,0.0,0.0,0.0,0.0,4.405555555555556e-05,0.017622222222222227,158.60000000000002,158.60000000000002,0.0,96.0,42.60000000000001,8,0,7,3,4.405555555555556e-05,0.0,0.0,0.017622222222222227,0.0,0.0,-0.0017622222222222225,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,0,
20260411_154426,heuristic,normal,2,2,0,2,1,-0.001784949494949495,False,False,0.054653679653679656,0.699999988079071,0.1666666716337204,0.0,0.14791665971279144,0.0,7,0,2.0,0.0,17.471425668370763,15.0,4.4623737373737376e-05,0.017849576077738807,160.64545454545456,158.60000000000002,2.045454545454545,97.28030303030303,43.365151515151524,8,0,7,3,4.4623737373737376e-05,2.0,0.0,0.017849576077738807,0.0,0.0,-0.001784949494949495,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,1,
20260411_154426,heuristic,normal,2,2,0,3,2,-0.001784949494949495,False,False,0.054653679653679656,0.699999988079071,0.1666666716337204,0.0,0.14791665971279144,0.0,7,0,2.0,0.0,17.471425668370763,15.0,4.4623737373737376e-05,0.017849657205982236,160.64545454545456,158.60000000000002,2.045454545454545,97.28030303030303,43.365151515151524,8,0,7,3,4.4623737373737376e-05,2.0,0.0,0.017849657205982236,0.0,0.0,-0.001784949494949495,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,1,
20260411_154426,heuristic,normal,2,2,0,4,2,-0.0017907575757575758,False,False,0.07007575757575757,0.699999988079071,0.1875,0.0,0.17812499403953552,0.0,7,0,3.0,0.0,14.796758169035678,12.333333333333334,4.4768939393939395e-05,0.017907819934259776,161.16818181818184,158.60000000000002,2.568181818181818,97.58712121212122,43.58106060606062,8,0,7,3,4.4768939393939395e-05,3.0,0.0,0.017907819934259776,0.0,0.0,-0.0017907575757575758,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,2,
20260411_154426,heuristic,normal,2,2,0,5,2,-0.0018215025252525253,False,False,0.15827922077922077,0.699999988079071,0.5,0.0,0.4156250059604645,0.0,7,0,8.0,0.0,14.314925066823205,8.875,4.5537563131313134e-05,0.01821535641102474,163.9352272727273,158.60000000000002,5.335227272727273,99.11931818181819,44.8159090909091,8,0,7,3,4.5537563131313134e-05,8.0,0.0,0.01821535641102474,0.0,0.0,-0.0018215025252525253,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,3,
20260411_154426,heuristic,normal,2,2,0,6,0,-0.0018331712962962965,False,False,0.17857142857142858,0.699999988079071,0.5,0.0,0.4437499940395355,0.0,7,0,8.0,0.0,17.357564227312462,11.0,4.5829282407407414e-05,0.018332129562887035,164.98541666666668,158.60000000000002,6.385416666666667,99.88541666666666,45.1,8,0,7,3,4.5829282407407414e-05,8.0,0.0,0.018332129562887035,0.0,0.0,-0.0018331712962962965,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,3,
20260411_154426,heuristic,normal,2,2,0,7,0,-32.22413100938496,False,False,0.41645021645021646,0.699999988079071,1.0,0.0,0.9700000286102295,0.0,7,3,16.0,29.0,4112.208623095612,11.666666666666666,4.771969696969697e-05,0.01908839932900613,171.7909090909091,158.60000000000002,13.190909090909091,103.36060606060606,48.43030303030304,8,0,7,3,4.771969696969697e-05,16.0,29.0,0.01908839932900613,0.6444444444301235,0.42647058822902245,-0.0019087878787878787,-32.22222222150617,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,2,
20260411_154426,heuristic,normal,2,2,0,8,0,-32.22413100938496,False,False,0.41645021645021646,0.699999988079071,1.0,0.0,0.9700000286102295,29.0,7,3,16.0,29.0,4112.208623095612,11.666666666666666,4.771969696969697e-05,0.01908848608585373,171.7909090909091,158.60000000000002,13.190909090909091,103.36060606060606,48.43030303030304,8,0,7,3,4.771969696969697e-05,16.0,29.0,0.01908848608585373,0.6444444444301235,0.5132743362786436,-0.0019087878787878787,-32.22222222150617,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,2,
20260411_154426,heuristic,normal,2,2,0,9,0,-38.51544119482902,False,False,0.44112782757148955,0.699999988079071,1.0,0.0,0.8633362650871277,29.0,7,1,17.0,57.0,3785.936540035705,12.580778790389395,4.8192045899132174e-05,0.019277519284508507,173.49136523687582,158.60000000000002,14.891365236875801,104.71557565087495,48.77578958600086,8,0,7,3,4.8192045899132174e-05,17.0,57.0,0.019277519284508507,0.7702702702598612,0.614973262028797,-0.001927681835965287,-38.51351351299306,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,4,
20260411_154426,heuristic,normal,2,2,0,10,0,-35.31066798788856,False,False,0.6503848003848003,0.699999988079071,1.0,0.0,1.0,57.0,7,2,31.73333333333333,76.26666666666668,5066.803288480003,10.703081232492996,5.065032267115601e-05,0.02026095783236993,182.34116161616163,158.60000000000002,23.741161616161612,110.6357744107744,51.70538720538721,8,0,7,3,5.065032267115601e-05,31.73333333333333,76.26666666666668,0.02026095783236993,0.7061728394996342,0.6483615819187062,-0.0020260129068462402,-35.30864197498171,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,7,
