scope_type,scope,scenario,policy,policy_class,run_count,seed_count,episodes_total,steps_total,seed_list,energy_kwh_mean,energy_kwh_std,energy_kwh_count,delivered_traffic_mean,delivered_traffic_std,delivered_traffic_count,dropped_traffic_mean,dropped_traffic_std,dropped_traffic_count,avg_delay_ms_mean,avg_delay_ms_std,avg_delay_ms_count,avg_path_latency_ms_mean,avg_path_latency_ms_std,avg_path_latency_ms_count,qos_violation_rate_mean,qos_violation_rate_std,qos_violation_rate_count,qos_violation_count_mean,qos_violation_count_std,qos_violation_count_count,carbon_g_mean,carbon_g_std,carbon_g_count,qos_violation_count_total,comparison_baseline_policy,comparison_available,is_primary_baseline,delivered_traffic_delta_vs_baseline,delivered_traffic_change_pct_vs_baseline,dropped_traffic_delta_vs_baseline,dropped_traffic_change_pct_vs_baseline,avg_delay_ms_delta_vs_baseline,avg_delay_ms_change_pct_vs_baseline,avg_path_latency_ms_delta_vs_baseline,avg_path_latency_ms_change_pct_vs_baseline,qos_violation_rate_delta_vs_baseline,qos_violation_count_delta_vs_baseline,energy_kwh_delta_vs_baseline,energy_reduction_pct_vs_baseline,carbon_g_delta_vs_baseline,carbon_reduction_pct_vs_baseline,qos_acceptability_missing,qos_acceptability_status,hypothesis_status,is_best_policy_for_scope,is_best_ai_policy_for_scope
overall,ALL,ALL,all_on,baseline,30,10,1500,450000,"0,1,2,3,4,5,6,7,8,9",0.019999999999999907,0.0,30,9061.354825133196,2862.8946630253904,30,14800.132628694348,6260.026738972146,30,6771.283802809901,2513.3823640388523,30,17.906756932768992,2.463722153576766,30,0.7793911111111111,0.04960091616039585,30,11690.866666666667,744.0137424059376,30,0.08737535940824022,0.0,30,350726.0,heuristic,True,False,278.00330064787886,3.1651164122589206,-277.1552695141145,-1.8382302665126335,116.29704372104334,1.7475172818670746,-0.15042688734003562,-0.8330584040049238,-5.1111111111112884e-05,-0.7666666666664241,0.0008006277777777189,-4.170072690455147,0.0034683988778560215,-4.133624738557957,,acceptable,not_achieved,False,False
overall,ALL,ALL,heuristic,baseline,30,10,1500,450000,"0,1,2,3,4,5,6,7,8,9",0.019199372222222188,4.629934615879746e-05,30,8783.351524485317,2801.1368283991537,30,15077.287898208462,6350.969188458212,30,6654.986759088858,2309.758016563822,30,18.057183820109028,2.414050324509778,30,0.7794422222222223,0.04941073352677858,30,11691.633333333333,741.1610029016787,30,0.0839069605303842,0.0002438645420327271,30,350749.0,heuristic,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,acceptable,not_achieved,True,False
overall,ALL,ALL,ppo,ai,30,10,1500,450000,"0,1,2,3,4,5,6,7,8,9",0.019969259259259166,1.593023197605814e-07,30,9057.379165209572,2861.1891097788084,30,14802.36408898446,6262.371030343052,30,6771.520244119228,2512.572034045385,30,17.9190327519169,2.4588267427225103,30,0.7793622222222222,0.04973032961835883,30,11690.433333333332,745.9549442753824,30,0.08698660154579024,7.266637611706035e-06,30,350713.0,heuristic,True,False,274.0276407242545,3.1198528256594154,-274.923809224003,-1.8234301227123904,116.53348503036977,1.751070126040709,-0.1381510681921263,-0.7650753825647888,-8.000000000008001e-05,-1.2000000000007276,0.000769887037036978,-4.009959430579076,0.0030796410154060455,-3.670304580143685,,acceptable,not_achieved,False,True
