scope_type,scope,scenario,policy,policy_class,run_count,seed_count,episodes_total,steps_total,seed_list,energy_kwh_mean,energy_kwh_std,energy_kwh_count,delivered_traffic_mean,delivered_traffic_std,delivered_traffic_count,dropped_traffic_mean,dropped_traffic_std,dropped_traffic_count,avg_delay_ms_mean,avg_delay_ms_std,avg_delay_ms_count,avg_path_latency_ms_mean,avg_path_latency_ms_std,avg_path_latency_ms_count,qos_violation_rate_mean,qos_violation_rate_std,qos_violation_rate_count,qos_violation_count_mean,qos_violation_count_std,qos_violation_count_count,carbon_g_mean,carbon_g_std,carbon_g_count,qos_violation_count_total,comparison_baseline_policy,comparison_available,is_primary_baseline,delivered_traffic_delta_vs_baseline,delivered_traffic_change_pct_vs_baseline,dropped_traffic_delta_vs_baseline,dropped_traffic_change_pct_vs_baseline,avg_delay_ms_delta_vs_baseline,avg_delay_ms_change_pct_vs_baseline,avg_path_latency_ms_delta_vs_baseline,avg_path_latency_ms_change_pct_vs_baseline,qos_violation_rate_delta_vs_baseline,qos_violation_count_delta_vs_baseline,energy_kwh_delta_vs_baseline,energy_reduction_pct_vs_baseline,carbon_g_delta_vs_baseline,carbon_reduction_pct_vs_baseline,qos_acceptability_missing,qos_acceptability_status,hypothesis_status,is_best_policy_for_scope,is_best_ai_policy_for_scope
scenario,burst,burst,all_on,baseline,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",0.019999999999999907,0.0,10,13014.73061183875,21.63371536626767,10,23309.938783854774,94.04287305598372,10,5057.0341333297565,7.146741024920082,10,15.986813032674865,0.011038480629727928,10,0.8483333333333334,0.0010938210294396625,10,12725.0,16.407315441594946,10,0.08737535940824022,0.0,10,127250.0,heuristic,True,False,392.0335436020214,3.105782714127867,-382.5534432673012,-1.6146610478967327,-1.939087463204487,-0.03832966451047052,-0.15883482949813477,-0.9837625027748971,0.00012666666666671933,1.8999999999996362,0.0007352166666666146,-3.8163765143129886,0.003123916682881228,-3.7078494822510084,,acceptable,not_achieved,False,False
scenario,burst,burst,heuristic,baseline,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",0.019264783333333292,3.6011357947654736e-06,10,12622.697068236728,20.941287047299813,10,23692.492227122075,96.37004160539092,10,5058.973220792961,8.149293052660493,10,16.145647862173,0.011983314475732873,10,0.8482066666666667,0.0011025022045833214,10,12723.1,16.537533068750005,10,0.08425144272535899,2.0193330595208454e-05,10,127231.0,heuristic,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,acceptable,not_achieved,True,False
scenario,burst,burst,ppo,ai,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",0.01996905555555546,0.0,10,13008.703672072628,21.646775991154076,10,23315.492970874202,93.8589074991454,10,5057.184419983924,7.20043514929417,10,16.000375993308783,0.01122105185692176,10,0.8484666666666667,0.0010938210294396719,10,12727.0,16.407315441594946,10,0.08699436990816077,0.0,10,127270.0,heuristic,True,False,386.0066038359,3.0580358678434285,-376.99925624787284,-1.5912182333283682,-1.7888008090367293,-0.03535896971513019,-0.14527186886421717,-0.8997586848439132,0.000260000000000038,3.899999999999636,0.0007042722222221666,-3.655749509539435,0.00274292718280178,-3.255644169492876,,acceptable,not_achieved,False,True
scenario,hotspot,hotspot,all_on,baseline,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",0.019999999999999907,0.0,10,6328.347464076248,10.843581899284164,10,12657.588009081024,53.18135893910226,10,10324.95356184252,16.43468038910937,10,21.384619290401368,0.026687358334666532,10,0.7560733333333334,0.0009988660237155737,10,11341.1,14.982990355733397,10,0.08737535940824022,0.0,10,113411.0,heuristic,True,False,309.5511732187724,5.143074433155002,-309.40927430253396,-2.3861289359489857,403.82840507346737,4.070389181593386,-0.07792562931413727,-0.363077303300387,0.00031333333333338764,4.700000000000728,0.0008333333333332728,-4.347826086956213,0.0036406399753434043,-4.347826086956599,,acceptable,not_achieved,False,False
scenario,hotspot,hotspot,heuristic,baseline,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",0.019166666666666634,0.0,10,6018.7962908574755,9.456694624640523,10,12966.997283383558,55.20823729401453,10,9921.125156769052,22.542642223578788,10,21.462544919715505,0.02647330026224874,10,0.75576,0.001012894641883128,10,11336.4,15.19341962824696,10,0.08373471943289681,0.0,10,113364.0,heuristic,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,acceptable,not_achieved,True,False
scenario,hotspot,hotspot,ppo,ai,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",0.019969277777777683,0.0,10,6327.041329194833,10.887236513430173,10,12658.550143962439,53.18135893910229,10,10324.059827724446,16.521817630273496,10,21.38979667812623,0.027561798462468184,10,0.7560733333333334,0.0009988660237155737,10,11341.1,14.982990355733397,10,0.08698854363638286,0.0,10,113411.0,heuristic,True,False,308.245038337358,5.121373501302591,-308.4471394211196,-2.3787090617839213,402.9346709553938,4.0613807868402585,-0.07274824158927373,-0.3389544057398671,0.00031333333333338764,4.700000000000728,0.0008026111111110491,-4.187536231883741,0.00325382420348605,-3.885872223043148,,acceptable,not_achieved,False,True
scenario,normal,normal,all_on,baseline,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",0.019999999999999907,0.0,10,7840.986399484592,10.17413424094843,10,8432.871093147243,53.04989660272439,10,4931.863713257428,16.266454218938094,10,16.348838475230746,0.011198591077965819,10,0.7337666666666667,0.0004688046264466291,10,11006.5,7.032069396699666,10,0.08737535940824022,0.0,10,110065.0,heuristic,True,False,132.4251851228446,1.7178975614298098,-139.50309097251375,-1.6273565289641918,-52.99818644713105,-1.063182642036124,-0.21452020320784015,-1.2951491745879573,-0.0005933333333333346,-8.899999999999636,0.0008333333333332728,-4.347826086956213,0.0036406399753434043,-4.347826086956599,,acceptable,not_achieved,False,False
scenario,normal,normal,heuristic,baseline,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",0.019166666666666634,0.0,10,7708.561214361747,7.782854704429575,10,8572.374184119757,55.85005070085454,10,4984.861899704559,11.636596954872985,10,16.563358678438586,0.010246036431694827,10,0.73436,0.00046590413892418255,10,11015.4,6.988562083862459,10,0.08373471943289681,0.0,10,110154.0,heuristic,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,acceptable,not_achieved,True,False
scenario,normal,normal,ppo,ai,10,10,500,150000,"0,1,2,3,4,5,6,7,8,9",0.01996944444444435,0.0,10,7836.392494361253,10.185441637362855,10,8433.049152116739,52.54196457768624,10,4933.316484649312,15.874185075118017,10,16.366925584315688,0.010892148329587436,10,0.7335466666666667,0.0005110338105796346,10,11003.2,7.66550715869472,10,0.08697689109282708,0.0,10,110032.0,heuristic,True,False,127.83127999950557,1.6583027162234156,-139.32503200301835,-1.6252794034716387,-51.54541505524685,-1.0340389782573882,-0.19643309412289867,-1.1859496490805708,-0.0008133333333333326,-12.199999999998909,0.0008027777777777148,-4.188405797101128,0.0032421716599302652,-3.8719561991587867,,acceptable,not_achieved,False,True
