obs:active_ratio[0],obs:avg_util[0],obs:demand_forecast[0],obs:demand_now[0],obs:dropped_prev[0],obs:edge_active[0],obs:edge_active[10],obs:edge_active[11],obs:edge_active[12],obs:edge_active[13],obs:edge_active[14],obs:edge_active[15],obs:edge_active[16],obs:edge_active[17],obs:edge_active[1],obs:edge_active[2],obs:edge_active[3],obs:edge_active[4],obs:edge_active[5],obs:edge_active[6],obs:edge_active[7],obs:edge_active[8],obs:edge_active[9],obs:edge_util[0],obs:edge_util[10],obs:edge_util[11],obs:edge_util[12],obs:edge_util[13],obs:edge_util[14],obs:edge_util[15],obs:edge_util[16],obs:edge_util[17],obs:edge_util[1],obs:edge_util[2],obs:edge_util[3],obs:edge_util[4],obs:edge_util[5],obs:edge_util[6],obs:edge_util[7],obs:edge_util[8],obs:edge_util[9],obs:max_util[0],obs:min_util[0],obs:near_saturated_edges[0],obs:num_active_edges[0],obs:p95_util[0],obs:time[0],action,delta_energy_kwh,delta_norm_drop,qos_violation_next
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0,0.0009,0.0,0
0.8421052694320679,0.282213419675827,0.4363042116165161,0.7271736860275269,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.38120517134666443,0.8751928210258484,0.8534436225891113,0.0,0.0,0.0,0.0,0.0,0.6716920733451843,0.0,0.6716920733451843,0.0,0.38120517134666443,0.27518025040626526,0.0,0.0,0.0,0.8751928210258484,0.0,0.0,16.0,0.8556185364723206,0.009999999776482582,0,0.0009,0.0,0
0.8421052694320679,0.16031520068645477,0.5833982825279236,0.681460976600647,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2781214714050293,0.0,0.0,0.0,0.0,0.48495426774024963,0.0,0.0,0.0,0.0,0.26033011078834534,0.0,0.26033011078834534,0.3798966705799103,0.0,0.0,0.0,0.0,0.9014105200767517,0.0,1.0,16.0,0.5265998840332031,0.019999999552965164,0,0.0009,0.0,0
0.8421052694320679,0.14996105432510376,0.528574526309967,0.49202534556388855,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10349798202514648,0.0,0.2873873710632324,0.0,0.0,0.31153586506843567,0.0,0.0,0.0,0.22087961435317993,0.24747608602046967,0.3243775963783264,0.0,0.0,0.30529913306236267,0.2873873710632324,0.0,0.0,0.3243775963783264,0.0,0.0,16.0,0.31282004714012146,0.029999999329447746,0,0.0009,0.012160511881647178,0
0.8421052694320679,0.23860028386116028,0.5967435836791992,0.6421895623207092,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3891110122203827,0.7853068709373474,0.0,0.0,0.0,0.0,0.0,0.3891110122203827,0.3891110122203827,0.248528391122818,0.0,0.40823495388031006,0.0,0.0,0.20820137858390808,0.0,1.0,0.0,1.0,16.0,0.8067761659622192,0.03999999910593033,0,0.0009,-0.002966296729359129,0
0.8421052694320679,0.2611045837402344,0.7309316992759705,0.8203904628753662,0.9276705980300903,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8676841259002686,0.0,0.0,0.0,0.0,0.0,0.2913363575935364,0.4912128746509552,0.44273996353149414,0.43498608469963074,0.9339528679847717,0.0,0.2913363575935364,0.0,0.0,0.0,0.9339528679847717,0.0,1.0,16.0,0.8743109703063965,0.05000000074505806,0,0.0009,-0.0015466611818073656,0
0.8421052694320679,0.2038162499666214,0.700486958026886,0.68019038438797,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.252718061208725,0.8876107931137085,0.0,0.0,0.0,0.0,0.0,0.252718061208725,0.252718061208725,0.0,0.0,0.0,0.4668257534503937,0.22819003462791443,0.0,0.2052266150712967,0.8876107931137085,0.0,0.0,16.0,0.7323084473609924,0.05999999865889549,0,0.0009,-0.00114282012626767,0
0.8421052694320679,0.21617455780506134,0.7064302563667297,0.710392415523529,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41672253608703613,0.0,0.3266071379184723,0.47695446014404297,0.0,0.0,0.0,0.0,0.0,0.6982998251914978,0.20088692009449005,0.49741289019584656,0.41672253608703613,0.21259334683418274,0.21259334683418274,0.0,0.0,0.0,0.6982998251914978,0.0,0.0,16.0,0.5175015926361084,0.07000000029802322,0,0.0009,-0.0007861893954553703,0
0.8421052694320679,0.19267116487026215,0.6747074127197266,0.6535588502883911,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.48891809582710266,0.48545318841934204,0.0,0.0,0.0,0.0,0.0,0.0,0.2066393345594406,0.4299696385860443,0.0,0.5786630511283875,0.0,0.0,0.0,0.0,0.46312567591667175,0.5786630511283875,0.0,0.0,16.0,0.4978925883769989,0.07999999821186066,0,0.0009,-0.0005632900292624416,0
0.8421052694320679,0.20550328493118286,0.6243862509727478,0.5908387899398804,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2879033386707306,0.0,0.0,0.0,0.0,0.6511329412460327,0.102139912545681,0.9405958652496338,0.44187724590301514,0.5440171360969543,0.0,0.0,0.0,0.9405958652496338,0.0,1.0,16.0,0.6800792217254639,0.09000000357627869,16,0.0009555555555555556,0.0005631581663080474,0
0.8947368264198303,0.20340651273727417,0.5928744673728943,0.5718666911125183,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9187613129615784,0.0,0.0,0.0,0.11873237788677216,0.0,0.0,0.8163952827453613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,17.0,0.926885187625885,0.10000000149011612,0,0.0009555555555555556,-0.0005102983982541876,0
0.8947368264198303,0.24240562319755554,0.6233976483345032,0.6437464356422424,0.1994434893131256,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.297859787940979,0.7588977813720703,0.8092055320739746,0.0,0.0,0.0,0.0,0.0,0.24794277548789978,0.0,0.36313602328300476,0.24794277548789978,0.8092055320739746,0.0,0.21309521794319153,0.0,0.0,0.8092055320739746,0.0,0.0,17.0,0.8092055320739746,0.10999999940395355,0,0.0009555555555555556,-0.0003571404046531501,0
0.8947368264198303,0.17345944046974182,0.5680189728736877,0.5310998558998108,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6269668340682983,0.571505606174469,0.641181230545044,0.0,0.0,0.22469601035118103,0.0,0.0,0.3251515030860901,0.0,0.3251515030860901,0.0,0.2341577708721161,0.0,0.0,0.0,0.0,0.641181230545044,0.0,0.0,17.0,0.6283882856369019,0.11999999731779099,0,0.0009555555555555556,-0.0002681151807978361,0
0.8947368264198303,0.13725727796554565,0.49907296895980835,0.45310893654823303,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.34473925828933716,0.18676789104938507,0.0,0.0,0.22183823585510254,0.0,0.0,0.0,0.0,0.27074745297431946,0.0,0.0,0.5165314674377441,0.5220019221305847,0.0,0.0,0.0,0.5220019221305847,0.0,0.0,17.0,0.5170785188674927,0.12999999523162842,0,0.0009555555555555556,-0.0003459314668880307,0
0.8947368264198303,0.2362389862537384,0.6012354493141174,0.6693437695503235,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3804851174354553,0.634486973285675,0.23219792544841766,0.5395151972770691,0.0,0.0,0.3565210700035095,0.0,0.0,0.45354408025741577,0.0,0.0,0.8340291976928711,0.4022890627384186,0.0,0.0,0.0,0.0,0.8340291976928711,0.0,0.0,17.0,0.6544411778450012,0.14000000059604645,0,0.0009555555555555556,-0.00030293694989996615,0
0.8947368264198303,0.2858434319496155,0.6501940488815308,0.6828331351280212,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25351113080978394,0.0,0.9169283509254456,0.47239571809768677,0.0,0.0,0.0,0.0,0.0,0.4324556291103363,0.11099936813116074,0.40566423535346985,0.32145625352859497,0.47239571809768677,0.40566423535346985,0.48447275161743164,0.0,0.0,0.9169283509254456,0.0,1.0,17.0,0.6167483925819397,0.15000000596046448,0,0.0009555555555555556,-0.00026215076806789146,0
0.8947368264198303,0.17670097947120667,0.6691800355911255,0.6818373799324036,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2322678118944168,0.15719261765480042,0.0,0.0,0.8765587210655212,0.0,0.3475293219089508,0.2322678118944168,0.0,0.2322678118944168,0.0,0.0,0.0,0.0,0.0,0.43196365237236023,0.8765587210655212,0.0,0.0,17.0,0.532137930393219,0.1599999964237213,0,0.0009555555555555556,-0.00018387840285214374,0
0.8947368264198303,0.21954013407230377,0.591320276260376,0.5394138097763062,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6245957016944885,0.42202994227409363,0.641528308391571,0.0,0.0,0.0,0.0,0.0,0.0,0.2194983810186386,0.0,0.0,0.5049275755882263,0.42202994227409363,0.0,0.0,0.19333785772323608,0.3521173298358917,0.641528308391571,0.0,0.0,17.0,0.6262889504432678,0.17000000178813934,0,0.0009555555555555556,-0.00017900461008374217,0
0.8947368264198303,0.13065297901630402,0.5861506462097168,0.5827042460441589,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25438249111175537,0.0,0.5994597673416138,0.10033786296844482,0.0,0.0,0.10033786296844482,0.0,0.0,0.3726501762866974,0.42128241062164307,0.3726501762866974,0.0,0.0,0.0,0.0,0.0,0.0,0.5994597673416138,0.0,0.0,17.0,0.43910014629364014,0.18000000715255737,0,0.0009555555555555556,-0.00017800957068698966,0
0.8947368264198303,0.23335857689380646,0.6217843294143677,0.6455401182174683,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7522488832473755,0.36697259545326233,0.0,0.17522293329238892,0.0,0.0,0.24493910372257233,0.4910920262336731,0.4910920262336731,0.0,0.39723679423332214,0.36697259545326233,0.24493910372257233,0.2611568570137024,0.0,0.0,0.7522488832473755,0.0,0.0,17.0,0.5172077417373657,0.1899999976158142,17,0.001011111111111111,-0.00013971993342528277,0
0.9473684430122375,0.1130019798874855,0.5850170850753784,0.5605055689811707,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.18856365978717804,0.0,0.0,0.1639552116394043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23857830464839935,0.0,0.7723862528800964,0.0,0.7723862528800964,0.0,0.0,18.0,0.6807355880737305,0.20000000298023224,0,0.001011111111111111,-0.00014896880222378195,0
0.9473684430122375,0.15466275811195374,0.6289916038513184,0.6583079099655151,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2840901017189026,0.2840901017189026,0.10438617318868637,0.8991761803627014,0.4205297827720642,0.0,0.0,0.0,0.10438617318868637,0.0,0.0,0.4096887409687042,0.8991761803627014,0.0,0.0,18.0,0.46839439868927,0.20999999344348907,0,0.001011111111111111,-9.965675536168384e-05,0
0.9473684430122375,0.15062643587589264,0.5397862792015076,0.4803161323070526,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5126991271972656,0.0,0.3620247542858124,0.6549104452133179,0.0,0.102717824280262,0.0,0.0,0.0,0.46350666880607605,0.0,0.0,0.0,0.6549104452133179,0.0,0.0,18.0,0.6193663477897644,0.2199999988079071,0,0.001011111111111111,0.0017300759760527982,0
0.9473684430122375,0.18212342262268066,0.6321894526481628,0.6937915086746216,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38696035742759705,0.0,0.0,0.0,0.0,0.30480989813804626,0.36870497465133667,0.0,0.0,0.0,0.0,0.0,0.38696035742759705,0.3289884328842163,0.0,0.0,0.5017974376678467,0.0,1.0,0.0,1.0,18.0,0.5516177415847778,0.23000000417232513,0,0.001011111111111111,-0.00020250376668317326,0
0.9473684430122375,0.24996106326580048,0.6613305807113647,0.680757999420166,0.7990531921386719,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17709147930145264,0.48431938886642456,0.48431938886642456,0.16291247308254242,0.0,0.406852662563324,0.811098039150238,0.3778544068336487,0.0,0.0,0.0,0.0,0.0,0.6472318768501282,0.0,0.0,0.0,0.0,0.9476194977760315,0.0,1.0,18.0,0.8247501850128174,0.23999999463558197,0,0.001011111111111111,-0.00017736566064809577,0
