run_id,policy,scenario,seed,episodes,max_steps,deterministic,reward_total_mean,delivered_total_mean,dropped_total_mean,energy_kwh_total_mean,carbon_g_total_mean,avg_utilization_mean,active_ratio_mean,avg_delay_ms_mean,results_dir,status,error
20260203_003338,all_on,normal,0,50,300,True,-862.5666907407021,7856.138677355479,8506.926815276356,0.019999999999999907,0.08737535940824022,0.22480647543309218,1.0,4938.831941273987,results/20260203_003338__policy-all_on__scenario-normal__seed-0__tag-matrix_v2,ok,
20260203_003342,heuristic,normal,0,50,300,True,-872.8171025889554,7718.0790835221715,8651.982772746027,0.019166666666666634,0.08373471943289681,0.235844542752811,0.9473684430122375,4985.661500899675,results/20260203_003342__policy-heuristic__scenario-normal__seed-0__tag-matrix_v2,ok,
20260203_003347,ppo,normal,0,50,300,True,-863.4331778311889,7855.955199094609,8514.737125835363,0.01996944444444435,0.08697689109282708,0.225120517972074,0.998070176243782,4941.308704296514,results/20260203_003347__policy-ppo__scenario-normal__seed-0__tag-matrix_v2,ok,
20260203_003353,all_on,burst,0,50,300,True,-1091.5779051764082,12966.802299207391,23185.852205679315,0.019999999999999907,0.08737535940824022,0.35780057193980364,1.0,5053.990543387638,results/20260203_003353__policy-all_on__scenario-burst__seed-0__tag-matrix_v2,ok,
20260203_003359,heuristic,burst,0,50,300,True,-1105.2426330943144,12570.169831031693,23572.03609469674,0.019263888888888848,0.0842496918381517,0.36708593674074896,0.9535087913274765,5046.810332077131,results/20260203_003359__policy-heuristic__scenario-burst__seed-0__tag-matrix_v2,ok,
20260203_003405,ppo,burst,0,50,300,True,-1092.053940509625,12957.24764416711,23186.223111448297,0.01996944444444435,0.08697689109282708,0.3582748927788685,0.998070176243782,5055.594954061982,results/20260203_003405__policy-ppo__scenario-burst__seed-0__tag-matrix_v2,ok,
20260203_003413,all_on,hotspot,0,50,300,True,-1042.4239059968916,6328.304636876544,12686.619906987798,0.019999999999999907,0.08737535940824022,0.23546898728187382,1.0,10334.875482068528,results/20260203_003413__policy-all_on__scenario-hotspot__seed-0__tag-matrix_v2,ok,
20260203_003417,heuristic,hotspot,0,50,300,True,-1064.9781620230206,6019.857587227256,12998.038052373253,0.019166666666666634,0.08373471943289681,0.23709314561557449,0.9473684430122375,9918.170841484402,results/20260203_003417__policy-heuristic__scenario-hotspot__seed-0__tag-matrix_v2,ok,
20260203_003422,ppo,hotspot,0,50,300,True,-1042.4720313676278,6328.138083204228,12686.846460660116,0.01996944444444435,0.08697689109282708,0.2357734288088165,0.998070176243782,10336.88021525344,results/20260203_003422__policy-ppo__scenario-hotspot__seed-0__tag-matrix_v2,ok,
20260203_003429,all_on,normal,1,50,300,True,-862.0873002154322,7851.398513042831,8499.686979589003,0.019999999999999907,0.08737535940824022,0.22477703379101022,1.0,4950.692238790402,results/20260203_003429__policy-all_on__scenario-normal__seed-1__tag-matrix_v2,ok,
20260203_003433,heuristic,normal,1,50,300,True,-872.2778678076913,7714.480051177251,8643.601805090948,0.019166666666666634,0.08373471943289681,0.23581938075259387,0.9473684430122375,4994.640355286425,results/20260203_003433__policy-heuristic__scenario-normal__seed-1__tag-matrix_v2,ok,
20260203_003438,ppo,normal,1,50,300,True,-862.9537873059189,7851.2150347819625,8507.49729014801,0.01996944444444435,0.08697689109282708,0.22509359300178847,0.998070176243782,4953.169159837236,results/20260203_003438__policy-ppo__scenario-normal__seed-1__tag-matrix_v2,ok,
20260203_003444,all_on,burst,1,50,300,True,-1094.9773566463311,13038.000084026955,23478.829235674566,0.019999999999999907,0.08737535940824022,0.35970385507225994,1.0,5059.268187399229,results/20260203_003444__policy-all_on__scenario-burst__seed-1__tag-matrix_v2,ok,
20260203_003450,heuristic,burst,1,50,300,True,-1108.7249242036198,12636.370447145458,23870.770293397793,0.019263888888888848,0.0842496918381517,0.36899840280613844,0.9535087913274765,5050.663094847493,results/20260203_003450__policy-heuristic__scenario-burst__seed-1__tag-matrix_v2,ok,
20260203_003456,ppo,burst,1,50,300,True,-1095.4533919795476,13028.445428986674,23479.200141443544,0.01996944444444435,0.08697689109282708,0.3601786686698887,0.998070176243782,5060.871368901591,results/20260203_003456__policy-ppo__scenario-burst__seed-1__tag-matrix_v2,ok,
20260203_003504,all_on,hotspot,1,50,300,True,-1040.008475532097,6327.814550070929,12641.389993793413,0.019999999999999907,0.08737535940824022,0.2354838332510692,1.0,10302.441988839704,results/20260203_003504__policy-all_on__scenario-hotspot__seed-1__tag-matrix_v2,ok,
20260203_003509,heuristic,hotspot,1,50,300,True,-1062.6488393581665,6010.758193937157,12956.837445663354,0.019166666666666634,0.08373471943289681,0.23683976561868417,0.9473684430122375,9876.869776038237,results/20260203_003509__policy-heuristic__scenario-hotspot__seed-1__tag-matrix_v2,ok,
20260203_003514,ppo,hotspot,1,50,300,True,-1040.0566009028335,6327.647996398613,12641.61654746573,0.01996944444444435,0.08697689109282708,0.23578823604257654,0.998070176243782,10304.446722024617,results/20260203_003514__policy-ppo__scenario-hotspot__seed-1__tag-matrix_v2,ok,
20260203_003521,all_on,normal,2,50,300,True,-861.9487082960826,7845.469575748109,8469.915916883727,0.019999999999999907,0.08737535940824022,0.22458600674269316,1.0,4941.911568439969,results/20260203_003521__policy-all_on__scenario-normal__seed-2__tag-matrix_v2,ok,
20260203_003525,heuristic,normal,2,50,300,True,-872.1534965354602,7711.983986637743,8610.50625672723,0.019166666666666634,0.08373471943289681,0.2357625910929676,0.9473684430122375,4992.035146882326,results/20260203_003525__policy-heuristic__scenario-normal__seed-2__tag-matrix_v2,ok,
20260203_003529,ppo,normal,2,50,300,True,-862.8236445495686,7845.231903938852,8477.888808087893,0.01996944444444435,0.08697689109282708,0.22490656484137397,0.998070176243782,4945.334508149705,results/20260203_003529__policy-ppo__scenario-normal__seed-2__tag-matrix_v2,ok,
20260203_003536,all_on,burst,2,50,300,True,-1096.8792414954908,13044.235798078393,23403.81085762046,0.019999999999999907,0.08737535940824022,0.35993583926914996,1.0,5061.318954562599,results/20260203_003536__policy-all_on__scenario-burst__seed-2__tag-matrix_v2,ok,
20260203_003542,heuristic,burst,2,50,300,True,-1110.593937419495,12646.916829423173,23791.467913784076,0.019263888888888848,0.0842496918381517,0.3693439004649143,0.9535087913274765,5059.403218552476,results/20260203_003542__policy-heuristic__scenario-burst__seed-2__tag-matrix_v2,ok,
20260203_003548,ppo,burst,2,50,300,True,-1097.3101121792588,13035.778242406443,23404.366568783018,0.01996944444444435,0.08697689109282708,0.36041641068900243,0.998070176243782,5062.210430038874,results/20260203_003548__policy-ppo__scenario-burst__seed-2__tag-matrix_v2,ok,
20260203_003556,all_on,hotspot,2,50,300,True,-1040.7552356092388,6338.763370325652,12660.44117353869,0.019999999999999907,0.08737535940824022,0.23597717896194656,1.0,10333.022428361712,results/20260203_003556__policy-all_on__scenario-hotspot__seed-2__tag-matrix_v2,ok,
20260203_003601,heuristic,hotspot,2,50,300,True,-1063.7492794881377,6021.086239206185,12977.949400394324,0.019166666666666634,0.08373471943289681,0.23729907216876203,0.9473684430122375,9904.808734319864,results/20260203_003601__policy-heuristic__scenario-hotspot__seed-2__tag-matrix_v2,ok,
20260203_003606,ppo,hotspot,2,50,300,True,-1040.803360979975,6338.596816653337,12660.667727211006,0.01996944444444435,0.08697689109282708,0.23628366752343438,0.998070176243782,10335.027161546623,results/20260203_003606__policy-ppo__scenario-hotspot__seed-2__tag-matrix_v2,ok,
20260203_003612,all_on,normal,3,50,300,True,-862.6854611287667,7851.839783300803,8474.205709331032,0.019999999999999907,0.08737535940824022,0.22480766452637205,1.0,4946.809978187542,results/20260203_003612__policy-all_on__scenario-normal__seed-3__tag-matrix_v2,ok,
20260203_003616,heuristic,normal,3,50,300,True,-872.8713451683215,7719.602011246427,8613.548232118546,0.019166666666666634,0.08373471943289681,0.23600437264419832,0.9473684430122375,5000.317911072021,results/20260203_003616__policy-heuristic__scenario-normal__seed-3__tag-matrix_v2,ok,
20260203_003621,ppo,normal,3,50,300,True,-863.556397382253,7851.642111491546,8482.138600535201,0.01996944444444435,0.08697689109282708,0.22512164307899962,0.998070176243782,4949.805065204668,results/20260203_003621__policy-ppo__scenario-normal__seed-3__tag-matrix_v2,ok,
20260203_003627,all_on,burst,3,50,300,True,-1095.8981371022633,13027.916850851017,23302.20980484784,0.019999999999999907,0.08737535940824022,0.35955823986560226,1.0,5066.846045393956,results/20260203_003627__policy-all_on__scenario-burst__seed-3__tag-matrix_v2,ok,
20260203_003633,heuristic,burst,3,50,300,True,-1109.6379061447092,12631.888893595831,23688.575849611418,0.019263888888888848,0.0842496918381517,0.3689892583434859,0.9535087913274765,5067.39136238345,results/20260203_003633__policy-heuristic__scenario-burst__seed-3__tag-matrix_v2,ok,
20260203_003640,ppo,burst,3,50,300,True,-1096.3572742815795,13018.938012610048,23303.286798579415,0.01996944444444435,0.08697689109282708,0.36002176638241434,0.998070176243782,5065.934556980178,results/20260203_003640__policy-ppo__scenario-burst__seed-3__tag-matrix_v2,ok,
20260203_003648,all_on,hotspot,3,50,300,True,-1040.5302354023934,6321.616557026709,12647.827986837634,0.019999999999999907,0.08737535940824022,0.23544257645103986,1.0,10310.556093152081,results/20260203_003648__policy-all_on__scenario-hotspot__seed-3__tag-matrix_v2,ok,
